,review,ratio
0, The car park was small and unpleasant People with Mercedes and BMWs took over 2 spaces We were lucky to get a space after driving around about 10 times ,3.0
1, We weren t told that the only spa facility open was the pool and the sauna but we had already paid and had to find out ourselves when entering the spa area ,0.6666666666666666
2, I asked how far the O2 was and got told a 7 minute walk no no way it was 2 trains away being on my own I was not very happy other than that it was ok,1.0
3, Hot stuffy room air con not working properly Filthy windows Wallpaper ripped and worn bedside furniture tatty carpets worn and damaged bathroom door latch worn making door difficult to open from the inside Shower from another era controlled by bath taps Poor shower curtain too resulting in wet floor Carpets in corridors worn out and tatty nasty musty aroma to these areas too All in all this place is around ten years overdue a complete renovation ,1.0
4, Although the price seems like it is cheap you have to pay extra for everything like the swimming pool and Wifi which can fool you and sometimes comes to the same as others if not more with extras like breakfast and all ,2.75
5, The hotel has seen better days including the stairwell carpets which were quite threadbare The common parts are in need of decoration The quality of the towels in the bathroom was not too good and there was only one set of toiletries for two people There was an item of drug paraphernalia in the hall ,2.5
6, Construction going on all around the hotel so many paths closed Had to pay extra to use hotel pool and spa which was a health hazard in itself Stairs leading to changing rooms and pool were filthy pool tiles didn t look like they had ever been cleaned wood was rotted in the sauna floor had food and hair on it outside The shower outside sauna had a hot and a cold button had to press both at same time in order not to scald or freeze yourself Pasta in pizzaria was microwaved Staff were incredibly rude in all areas of the hotel at one point my aunt was asked to repeat if you understand now The wifi was incredibly slow and power points or lack there of were very dated like the decor in whole hotel The only part of this review I gave more than a sad face was the location I wouldn t even give the hotel a 2 ,0.2
7, Room was far too hot and air conditioning didn t work Happened on my previous stay and a staff member had to open a window with a screwdriver Unfortunately the huge vents outside were really noisy with the window open Hardly slept all night ,3.0
8, The guy that served us was not very professional as he was telling us about other customers situation and we just wanted to get to our room The car park was so small and there was no parking at all My car was stuck between two cars all they told us he was a first come first serve Was not very happy at all ,2.5
9, The building site next door Dirty windows spoiling lovely view See photos ,1.6666666666666667
10, Access was a little tricky due to local construction works in the area but these did not adversely impact on my journey time or cause any noise issues inside the hotel ,1.75
11, ,4.0
