,keyword,num
0,room,1451
1,location,1323
2,staff,822
3,hotel,640
4,i,498
5,view,390
6,canary,313
7,wharf,276
8,price,268
9,breakfast,241
10,value,226
11,bed,202
12,close,175
13,restaurant,167
14,upgrade,165
15,area,157
16,money,151
17,service,151
18,nothing,149
19,size,148
20,really,144
21,very,139
22,bar,137
23,food,136
24,window,130
25,stay,129
26,facility,124
27,tube,121
28,london,115
29,station,113
30,reception,110
31,everything,106
32,big,105
33,book,105
34,walk,94
35,night,89
36,bathroom,89
37,positiveno,88
38,place,84
39,large,78
40,also,75
41,check,73
42,pool,69
43,even,68
44,time,67
45,minute,65
46,day,62
47,little,62
48,u,61
49,look,55
